stat,pair,arm,simulated,draw_sd,model,observed,n
name_repetition,destructive_relief_vs_inert,works,0.6347153465346534,0.00955521648466084,M1,0.6652227722772277,1616
name_repetition,kidspics_relief_vs_inert,placebo,0.7036819306930693,0.009972536167034711,M1,0.7351485148514851,1616
name_repetition,kidspics_relief_vs_inert,random,0.6522586633663366,0.010702093985087546,M1,0.6627475247524752,1616
name_repetition,kidspics_relief_vs_inert,unsteered,0.6941522277227723,0.008403271560872626,M1,0.7388613861386139,1616
name_repetition,kidspics_relief_vs_inert,works,0.6074257425742575,0.009122077678225747,M1,0.635519801980198,1616
name_repetition,label_free,placebo,0.8664780763790665,0.006829185077057812,M1,0.9112446958981613,2828
name_repetition,label_free,random,0.2326909476661952,0.009361515893689595,M1,0.27523910733262485,2823
name_repetition,label_free,unsteered,0.17683875530410184,0.005925753282335828,M1,0.0983026874115983,2828
name_repetition,label_free,works,0.6990806223479491,0.011848951989614828,M1,0.6364922206506365,2828
name_repetition,relief_vs_grant,placebo,0.7043316831683168,0.012356028314994908,M1,0.7252475247524752,1616
name_repetition,relief_vs_grant,random,0.6132116336633663,0.0153761793118466,M1,0.5191831683168316,1616
name_repetition,relief_vs_grant,unsteered,0.5066831683168317,0.014964503960585981,M1,0.5278465346534653,1616
name_repetition,relief_vs_grant,works,0.6646039603960396,0.01582768532740515,M1,0.6082920792079208,1616
name_repetition,relief_vs_helpful,placebo,0.7158106435643564,0.003861218070325897,M1,0.7277227722772277,1616
name_repetition,relief_vs_helpful,random,0.6727103960396039,0.011392473655099105,M1,0.6540841584158416,1616
name_repetition,relief_vs_helpful,unsteered,0.6930383663366337,0.0047784518583246964,M1,0.719059405940594,1616
name_repetition,relief_vs_helpful,works,0.711664603960396,0.004845465279390469,M1,0.7172029702970297,1616
name_repetition,relief_vs_inert,placebo,0.7190903465346535,0.008768519421609392,M1,0.755569306930693,1616
name_repetition,relief_vs_inert,random,0.6817759900990099,0.00735175435910367,M1,0.7233910891089109,1616
name_repetition,relief_vs_inert,unsteered,0.7113861386138614,0.004890695363618897,M1,0.7017326732673267,1616
name_repetition,relief_vs_inert,works,0.7217821782178218,0.010085324822290612,M1,0.7636138613861386,1616
name_repetition,weights_relief_vs_inert,placebo,0.7119121287128712,0.00935134685404548,M1,0.6943069306930693,1616
name_repetition,weights_relief_vs_inert,random,0.6161819306930693,0.01164265968556309,M1,0.6361386138613861,1616
name_repetition,weights_relief_vs_inert,unsteered,0.6601485148514852,0.008923728521421162,M1,0.7202970297029703,1616
name_repetition,weights_relief_vs_inert,works,0.5851485148514851,0.012994894413327967,M1,0.6039603960396039,1616
name_repetition,zap_relief_vs_inert,placebo,0.7048267326732673,0.012824100784079947,M1,0.6899752475247525,1616
name_repetition,zap_relief_vs_inert,random,0.6109529702970298,0.012813252286706978,M1,0.573019801980198,1616
name_repetition,zap_relief_vs_inert,unsteered,0.5958230198019802,0.01033770724747574,M1,0.6912128712871287,1616
name_repetition,zap_relief_vs_inert,works,0.5929146039603961,0.0160706529712657,M1,0.6113861386138614,1616
